sep =,
Number,net_profit,Balance,Symbol,Mode,Volume,OpenDate,OpenTime,CloseDate,CloseTime,OpenPrice,ClosePrice,TradeMargin
1,3.12,10003.12,GBP_USD,Long,2000.0,2024.01.02,05:22:00,2024.01.02,,1.27326,,5.09
2,2.84,10005.96,GBP_USD,Short,2000.0,2024.01.02,15:05:00,2024.01.02,,1.27483,,5.10
3,3.86,10009.82,GBP_USD,Long,2000.0,2024.01.02,16:42:00,2024.01.05,,1.27321,,5.09
4,2.62,10012.44,GBP_USD,Short,2000.0,2024.01.05,22:04:00,2024.01.05,,1.27475,,5.10
5,2.62,10015.06,GBP_USD,Long,2000.0,2024.01.05,23:59:00,2024.01.08,,1.27350,,5.09
6,2.62,10017.68,GBP_USD,Short,2000.0,2024.01.08,22:49:00,2024.01.09,,1.27491,,5.10
7,2.68,10020.36,GBP_USD,Long,2000.0,2024.01.09,13:40:00,2024.01.09,,1.27370,,5.09
8,2.80,10023.16,GBP_USD,Short,2000.0,2024.01.09,14:37:00,2024.01.09,,1.27488,,5.10
9,2.60,10025.76,GBP_USD,Long,2000.0,2024.01.09,15:09:00,2024.01.11,,1.27357,,5.09
10,2.86,10028.62,GBP_USD,Short,2000.0,2024.01.11,07:33:00,2024.01.11,,1.27488,,5.10
11,5.62,10034.24,GBP_USD,Long,2000.0,2024.01.11,20:32:00,2024.01.11,,1.27122,,5.08
12,2.82,10037.06,GBP_USD,Short,2000.0,2024.01.11,20:35:00,2024.01.11,,1.27403,,5.10
13,2.82,10039.88,GBP_USD,Long,2000.0,2024.01.11,20:43:00,2024.01.11,,1.27339,,5.09
14,3.38,10043.26,GBP_USD,Short,2000.0,2024.01.11,21:37:00,2024.01.11,,1.27477,,5.10
15,2.58,10045.84,GBP_USD,Long,2000.0,2024.01.11,21:43:00,2024.01.12,,1.27278,,5.09
16,2.72,10048.56,GBP_USD,Short,2000.0,2024.01.12,01:47:00,2024.01.12,,1.27406,,5.10
17,5.44,10054.00,GBP_USD,Long,2000.0,2024.01.12,18:50:00,2024.01.12,,1.27266,,5.09
18,2.56,10056.56,GBP_USD,Short,2000.0,2024.01.12,20:32:00,2024.01.13,,1.27540,,5.10
19,2.68,10059.24,GBP_USD,Long,2000.0,2024.01.13,00:03:00,2024.01.13,,1.27388,,5.10
20,2.56,10061.80,GBP_USD,Short,2000.0,2024.01.13,02:08:00,2024.01.15,,1.27521,,5.10
21,2.62,10064.42,GBP_USD,Long,2000.0,2024.01.15,06:08:00,2024.01.15,,1.27397,,5.10
22,2.66,10067.08,GBP_USD,Short,2000.0,2024.01.15,09:20:00,2024.01.15,,1.27526,,5.10

23,-10.04,10057.04,GBP_USD,Long,2000.0,2024.01.15,16:01:00,2024.01.17,,1.27376,,5.10

24,2.88,10059.92,GBP_USD,Short,2000.0,2024.01.17,17:02:00,2024.01.17,,1.26901,,5.08
25,2.56,10062.48,GBP_USD,Long,2000.0,2024.01.17,17:40:00,2024.01.17,,1.26751,,5.07
26,3.20,10065.68,GBP_USD,Short,2000.0,2024.01.17,18:44:00,2024.01.17,,1.26886,,5.08
27,2.88,10068.56,GBP_USD,Long,2000.0,2024.01.17,20:02:00,2024.01.18,,1.26733,,5.07
28,2.78,10071.34,GBP_USD,Short,2000.0,2024.01.18,08:09:00,2024.01.18,,1.26866,,5.07
29,2.88,10074.22,GBP_USD,Long,2000.0,2024.01.18,20:32:00,2024.01.18,,1.26767,,5.07
30,2.66,10076.88,GBP_USD,Short,2000.0,2024.01.18,23:37:00,2024.01.19,,1.26905,,5.08
31,2.56,10079.44,GBP_USD,Long,2000.0,2024.01.19,00:10:00,2024.01.19,,1.26762,,5.07
32,3.00,10082.44,GBP_USD,Short,2000.0,2024.01.19,01:40:00,2024.01.19,,1.26884,,5.08
33,2.62,10085.06,GBP_USD,Long,2000.0,2024.01.19,15:21:00,2024.01.19,,1.26725,,5.07
34,2.60,10087.66,GBP_USD,Short,2000.0,2024.01.19,16:16:00,2024.01.19,,1.26861,,5.07
35,2.68,10090.34,GBP_USD,Long,2000.0,2024.01.19,16:45:00,2024.01.19,,1.26736,,5.07
36,2.80,10093.14,GBP_USD,Short,2000.0,2024.01.19,17:07:00,2024.01.19,,1.26865,,5.07
37,2.66,10095.80,GBP_USD,Long,2000.0,2024.01.19,17:27:00,2024.01.19,,1.26727,,5.07
38,2.56,10098.36,GBP_USD,Short,2000.0,2024.01.19,18:12:00,2024.01.19,,1.26902,,5.08
39,2.84,10101.20,GBP_USD,Long,2000.0,2024.01.19,19:49:00,2024.01.20,,1.26779,,5.07
40,3.24,10104.44,GBP_USD,Short,2000.0,2024.01.20,01:14:00,2024.01.23,,1.26910,,5.08
41,2.68,10107.12,GBP_USD,Long,2000.0,2024.01.23,22:25:00,2024.01.24,,1.26728,,5.07
42,2.54,10109.66,GBP_USD,Short,2000.0,2024.01.24,03:19:00,2024.01.29,,1.26861,,5.07
43,2.56,10112.22,GBP_USD,Long,2000.0,2024.01.29,21:51:00,2024.01.30,,1.26750,,5.07
44,2.60,10114.82,GBP_USD,Short,2000.0,2024.01.30,00:26:00,2024.01.30,,1.26876,,5.08
45,2.82,10117.64,GBP_USD,Long,2000.0,2024.01.30,16:27:00,2024.01.30,,1.26730,,5.07
46,3.70,10121.34,GBP_USD,Short,2000.0,2024.01.30,21:14:00,2024.01.30,,1.26849,,5.07
47,2.90,10124.24,GBP_USD,Long,2000.0,2024.01.30,22:02:00,2024.01.30,,1.26604,,5.06
48,2.88,10127.12,GBP_USD,Short,2000.0,2024.01.30,23:45:00,2024.02.01,,1.26755,,5.07
49,2.70,10129.82,GBP_USD,Long,2000.0,2024.02.01,03:33:00,2024.02.01,,1.26602,,5.06
50,2.60,10132.42,GBP_USD,Short,2000.0,2024.02.01,04:01:00,2024.02.01,,1.26743,,5.07
51,3.12,10135.54,GBP_USD,Long,2000.0,2024.02.01,14:00:00,2024.02.01,,1.26638,,5.07
52,2.72,10138.26,GBP_USD,Short,2000.0,2024.02.01,19:46:00,2024.02.01,,1.26829,,5.07
53,2.60,10140.86,GBP_USD,Long,2000.0,2024.02.01,20:05:00,2024.02.01,,1.26721,,5.07
54,2.98,10143.84,GBP_USD,Short,2000.0,2024.02.01,23:03:00,2024.02.02,,1.26859,,5.07

55,-10.90,10132.94,GBP_USD,Long,2000.0,2024.02.02,20:57:00,2024.02.07,,1.26714,,5.07

56,2.84,10135.78,GBP_USD,Short,2000.0,2024.02.07,14:15:00,2024.02.08,,1.26179,,5.05
57,2.54,10138.32,GBP_USD,Long,2000.0,2024.02.08,18:26:00,2024.02.08,,1.26010,,5.04
